Entity,YEAR,records lost,ORGANISATION,METHOD OF LEAK,DATA SENSITIVITY
Automatic Data Processing,2005,125000.0,financial,poor security,SSN/Personal Details
Ameritrade Inc.,2005,200000.0,financial,lost / stolen device,SSN/Personal Details
Citigroup,2005,3900000.0,financial,lost / stolen device,Credit card Information
Cardsystems Solutions Inc. ,2005,40000000.0,financial,hacked,Credit card Information
Hewlett Packard,2006,200000.0,"tech, retail",lost / stolen device,SSN/Personal Details
Countrywide Financial Corp,2006,2600000.0,financial,inside job,Credit card Information
KDDI,2006,4000000.0,telecoms,hacked,Just Email Addresses/Online Information
"T-Mobile, Deutsche Telecom",2006,17000000.0,telecoms,lost / stolen device,Just Email Addresses/Online Information
AOL,2006,20000000.0,web,accidentally published,Just Email Addresses/Online Information
US Dept of Vet Affairs,2006,26500000.0,"government, military",lost / stolen device,SSN/Personal Details
Texas Lottery,2007,89000.0,government,inside job,SSN/Personal Details
City and Hackney Teaching Primary Care Trust,2007,160000.0,government,lost / stolen device,SSN/Personal Details
Gap Inc,2007,800000.0,retail,lost / stolen device,SSN/Personal Details
Compass Bank,2007,1000000.0,financial,inside job,Credit card Information
Monster.com,2007,1600000.0,web,hacked,SSN/Personal Details
Driving Standards Agency,2007,3000000.0,government,lost / stolen device,SSN/Personal Details
"Driving Standards Agency,",2007,3000000.0,government,lost / stolen device,SSN/Personal Details
Hannaford Brothers Supermarket Chain,2007,4200000.0,retail,hacked,Credit card Information
TD Ameritrade,2007,6300000.0,financial,hacked,Just Email Addresses/Online Information
Fidelity National Information Services,2007,8500000.0,financial,inside job,Credit card Information
Dai Nippon Printing,2007,8637405.0,retail,inside job,Just Email Addresses/Online Information
UK Revenue & Customs,2007,25000000.0,government,lost / stolen device,Just Email Addresses/Online Information
TK / TJ Maxx,2007,94000000.0,retail,hacked,Credit card Information
Service Personnel and Veterans Agency (UK),2008,50500.0,government,lost / stolen device,SSN/Personal Details
Stanford University,2008,72000.0,academic,lost / stolen device,SSN/Personal Details
UK Home Office,2008,84000.0,government,lost / stolen device,SSN/Personal Details
AT&T,2008,113000.0,telecoms,lost / stolen device,Just Email Addresses/Online Information
Starbucks,2008,97000.0,retail,lost / stolen device,SSN/Personal Details
RBS Worldpay,2008,1500000.0,financial,hacked,SSN/Personal details
Jefferson County,2008,1600000.0,government,accidentally published,SSN/Personal Details
UK Ministry of Defence,2008,1700000.0,government,lost / stolen device,Full Bank Account Details
University of Miami,2008,2100000.0,academic,lost / stolen device,Credit card Information
University of Utah Hospitals & Clinics,2008,2200000.0,academic,lost / stolen device,Email Passwords/Health Records
Norwegian Tax Authorities,2008,3950000.0,government,accidentally published,SSN/Personal Details
Data Processors International,2008,5000000.0,financial,hacked,Just Email Addresses/Online Information
Chile Ministry Of Education,2008,6000000.0,government,hacked,Just Email Addresses/Online Information
GS Caltex,2008,11100000.0,energy,inside job,SSN/Personal Details
BNY Mellon Shareowner Services,2008,12500000.0,financial,lost / stolen device,Just Email Addresses/Online Information
Auction.co.kr,2008,18000000.0,web,hacked,Credit card Information
US Dept of Defense,2009,72000.0,military,lost / stolen device,SSN/Personal Details
US National Guard,2009,131000.0,military,lost / stolen device,SSN/Personal Details
University of California Berkeley,2009,160000.0,academic,hacked,Credit card Information
"Affinity Health Plan, Inc.",2009,344579.0,healthcare,lost / stolen device,Email Passwords/Health Records
Virginia Prescription Monitoring Program,2009,531400.0,healthcare,hacked,SSN/Personal Details
Network Solutions,2009,573000.0,tech,hacked,Credit card Information
Blue Cross Blue Shield of Tennessee,2009,1023209.0,healthcare,lost / stolen device,SSN/Personal Details
"AvMed, Inc.",2009,1220000.0,healthcare,lost / stolen device,SSN/Personal details
