Entity,Code,Year,Outdoor air pollution
Afghanistan,AFG,1990,13085
Afghanistan,AFG,1995,17602
Afghanistan,AFG,2000,20097
Afghanistan,AFG,2005,22285
Afghanistan,AFG,2006,22493
Afghanistan,AFG,2010,21195
Afghanistan,AFG,2016,27426
Albania,ALB,1990,1208
Albania,ALB,1995,1085
Albania,ALB,2000,1105
Albania,ALB,2005,1176
Albania,ALB,2006,1219
Albania,ALB,2010,1398
Albania,ALB,2016,1421
Algeria,DZA,1990,7963
Algeria,DZA,1995,8298
Algeria,DZA,2000,9007
Algeria,DZA,2005,9062
Algeria,DZA,2006,9093
Algeria,DZA,2010,9547
Algeria,DZA,2016,12976
American Samoa,ASM,1990,2
American Samoa,ASM,1995,2
American Samoa,ASM,2000,3
American Samoa,ASM,2005,3
American Samoa,ASM,2006,2
American Samoa,ASM,2010,1
American Samoa,ASM,2016,2
Andorra,AND,1990,18
Andorra,AND,1995,21
Andorra,AND,2000,18
Andorra,AND,2005,21
Andorra,AND,2006,22
Andorra,AND,2010,24
Andorra,AND,2016,27
Angola,AGO,1990,6469
Angola,AGO,1995,6912
Angola,AGO,2000,7772
Angola,AGO,2005,8156
Angola,AGO,2006,8068
Angola,AGO,2010,7733
Angola,AGO,2016,7327
Antigua and Barbuda,ATG,1990,21
Antigua and Barbuda,ATG,1995,20
Antigua and Barbuda,ATG,2000,19
Antigua and Barbuda,ATG,2005,18
Antigua and Barbuda,ATG,2006,18
Antigua and Barbuda,ATG,2010,16
Antigua and Barbuda,ATG,2016,19
Argentina,ARG,1990,13842
Argentina,ARG,1995,13912
Argentina,ARG,2000,14637
Argentina,ARG,2005,14962
Argentina,ARG,2006,15011
Argentina,ARG,2010,15424
Argentina,ARG,2016,15807
Armenia,ARM,1990,1913
Armenia,ARM,1995,1984
Armenia,ARM,2000,1926
Armenia,ARM,2005,2117
Armenia,ARM,2006,2184
Armenia,ARM,2010,2229
Armenia,ARM,2016,2148
Australia,AUS,1990,3864
Australia,AUS,1995,3764
Australia,AUS,2000,3533
Australia,AUS,2005,3154
Australia,AUS,2006,3057
Australia,AUS,2010,2669
Australia,AUS,2016,3098
Austria,AUT,1990,4904
Austria,AUT,1995,4464
Austria,AUT,2000,3995
Austria,AUT,2005,3542
Austria,AUT,2006,3492
Austria,AUT,2010,3407
Austria,AUT,2016,3454
Azerbaijan,AZE,1990,5348
Azerbaijan,AZE,1995,5341
Azerbaijan,AZE,2000,5286
Azerbaijan,AZE,2005,5425
Azerbaijan,AZE,2006,5601
Azerbaijan,AZE,2010,6469
Azerbaijan,AZE,2016,6885
Bahamas,BHS,1990,61
Bahamas,BHS,1995,67
Bahamas,BHS,2000,68
Bahamas,BHS,2005,75
Bahamas,BHS,2006,71
Bahamas,BHS,2010,69
Bahamas,BHS,2016,95
Bahrain,BHR,1990,212
Bahrain,BHR,1995,228
Bahrain,BHR,2000,228
Bahrain,BHR,2005,217
Bahrain,BHR,2006,224
Bahrain,BHR,2010,253
Bahrain,BHR,2016,308
Bangladesh,BGD,1990,82922
Bangladesh,BGD,1995,81365
Bangladesh,BGD,2000,82277
Bangladesh,BGD,2005,94713
Bangladesh,BGD,2006,96396
Bangladesh,BGD,2010,100287
Bangladesh,BGD,2016,115489
Barbados,BRB,1990,108
Barbados,BRB,1995,112
Barbados,BRB,2000,99
Barbados,BRB,2005,87
Barbados,BRB,2006,86
Barbados,BRB,2010,79
Barbados,BRB,2016,103
Belarus,BLR,1990,11199
Belarus,BLR,1995,12252
Belarus,BLR,2000,11919
Belarus,BLR,2005,11796
Belarus,BLR,2006,11533
Belarus,BLR,2010,11406
Belarus,BLR,2016,9657
Belgium,BEL,1990,6705
Belgium,BEL,1995,6122
Belgium,BEL,2000,5837
Belgium,BEL,2005,5321
Belgium,BEL,2006,5215
Belgium,BEL,2010,5164
Belgium,BEL,2016,5230
Belize,BLZ,1990,58
Belize,BLZ,1995,68
Belize,BLZ,2000,79
Belize,BLZ,2005,67
Belize,BLZ,2006,66
Belize,BLZ,2010,68
Belize,BLZ,2016,76
Benin,BEN,1990,4128
Benin,BEN,1995,4395
Benin,BEN,2000,4396
Benin,BEN,2005,3817
Benin,BEN,2006,3790
Benin,BEN,2010,3913
Benin,BEN,2016,5737
Bermuda,BMU,1990,24
Bermuda,BMU,1995,23
Bermuda,BMU,2000,21
Bermuda,BMU,2005,18
Bermuda,BMU,2006,17
Bermuda,BMU,2010,14
Bermuda,BMU,2016,14
Bhutan,BTN,1990,364
Bhutan,BTN,1995,314
Bhutan,BTN,2000,309
Bhutan,BTN,2005,336
Bhutan,BTN,2006,333
Bhutan,BTN,2010,337
Bhutan,BTN,2016,388
Bolivia,BOL,1990,4390
Bolivia,BOL,1995,4149
Bolivia,BOL,2000,3871
Bolivia,BOL,2005,4343
Bolivia,BOL,2006,4211
Bolivia,BOL,2010,3918
Bolivia,BOL,2016,3751
Bosnia and Herzegovina,BIH,1990,3519
Bosnia and Herzegovina,BIH,1995,3246
Bosnia and Herzegovina,BIH,2000,3019
Bosnia and Herzegovina,BIH,2005,3095
Bosnia and Herzegovina,BIH,2006,3132
Bosnia and Herzegovina,BIH,2010,3216
Bosnia and Herzegovina,BIH,2016,3432
Botswana,BWA,1990,341
Botswana,BWA,1995,420
Botswana,BWA,2000,608
Botswana,BWA,2005,609
Botswana,BWA,2006,585
Botswana,BWA,2010,524
Botswana,BWA,2016,627
Brazil,BRA,1990,41829
Brazil,BRA,1995,44940
Brazil,BRA,2000,48031
Brazil,BRA,2005,45887
Brazil,BRA,2006,45053
Brazil,BRA,2010,42486
Brazil,BRA,2016,52742
Brunei,BRN,1990,19
Brunei,BRN,1995,20
Brunei,BRN,2000,17
Brunei,BRN,2005,29
Brunei,BRN,2006,29
Brunei,BRN,2010,29
Brunei,BRN,2016,39
Bulgaria,BGR,1990,12801
Bulgaria,BGR,1995,12197
Bulgaria,BGR,2000,10942
Bulgaria,BGR,2005,9820
Bulgaria,BGR,2006,9945
Bulgaria,BGR,2010,9719
Bulgaria,BGR,2016,9339
Burkina Faso,BFA,1990,8200
Burkina Faso,BFA,1995,8159
Burkina Faso,BFA,2000,8311
Burkina Faso,BFA,2005,7728
Burkina Faso,BFA,2006,7675
Burkina Faso,BFA,2010,7892
Burkina Faso,BFA,2016,10267
Burundi,BDI,1990,4515
Burundi,BDI,1995,4537
Burundi,BDI,2000,4158
Burundi,BDI,2005,3916
Burundi,BDI,2006,3857
Burundi,BDI,2010,3859
Burundi,BDI,2016,4788
Cambodia,KHM,1990,4950
Cambodia,KHM,1995,5690
Cambodia,KHM,2000,5936
Cambodia,KHM,2005,6316
Cambodia,KHM,2006,6106
Cambodia,KHM,2010,5634
Cambodia,KHM,2016,6002
Cameroon,CMR,1990,9195
Cameroon,CMR,1995,10672
Cameroon,CMR,2000,12362
Cameroon,CMR,2005,12135
Cameroon,CMR,2006,12237
Cameroon,CMR,2010,12801
Cameroon,CMR,2016,16222
Canada,CAN,1990,7297
Canada,CAN,1995,7523
Canada,CAN,2000,7399
Canada,CAN,2005,7467
Canada,CAN,2006,7279
Canada,CAN,2010,6731
Canada,CAN,2016,7644
Cape Verde,CPV,1990,159
Cape Verde,CPV,1995,183
Cape Verde,CPV,2000,189
Cape Verde,CPV,2005,171
Cape Verde,CPV,2006,174
Cape Verde,CPV,2010,182
Cape Verde,CPV,2016,239
Caribbean,,1990,15736
Caribbean,,1995,16325
Caribbean,,2000,16497
Caribbean,,2005,16007
Caribbean,,2006,15730
Caribbean,,2010,14936
Caribbean,,2016,17088
Central African Republic,CAF,1990,2730
Central African Republic,CAF,1995,3061
Central African Republic,CAF,2000,3385
Central African Republic,CAF,2005,3447
Central African Republic,CAF,2006,3549
Central African Republic,CAF,2010,3577
Central African Republic,CAF,2016,4269
Central Asia,,1990,50956
Central Asia,,1995,54387
Central Asia,,2000,53303
Central Asia,,2005,52820
Central Asia,,2006,52954
Central Asia,,2010,52336
Central Asia,,2016,54808
Central Europe,,1990,129278
Central Europe,,1995,116550
Central Europe,,2000,101510
Central Europe,,2005,93734
Central Europe,,2006,93986
Central Europe,,2010,95152
Central Europe,,2016,90890
Central Sub-Saharan Africa,,1990,31955
Central Sub-Saharan Africa,,1995,36255
Central Sub-Saharan Africa,,2000,40026
Central Sub-Saharan Africa,,2005,40106
Central Sub-Saharan Africa,,2006,40355
Central Sub-Saharan Africa,,2010,41050
Central Sub-Saharan Africa,,2016,47845
Chad,TCD,1990,4632
Chad,TCD,1995,5261
Chad,TCD,2000,6295
Chad,TCD,2005,6641
Chad,TCD,2006,6791
Chad,TCD,2010,7393
Chad,TCD,2016,9182
Chile,CHL,1990,4445
Chile,CHL,1995,4401
Chile,CHL,2000,4084
Chile,CHL,2005,4248
Chile,CHL,2006,4189
Chile,CHL,2010,4415
Chile,CHL,2016,5000
China,CHN,1990,969657
China,CHN,1995,1055662
China,CHN,2000,1102410
China,CHN,2005,1143314
China,CHN,2006,1112394
China,CHN,2010,1134227
China,CHN,2016,1144746
Colombia,COL,1990,7723
Colombia,COL,1995,8447
Colombia,COL,2000,8822
Colombia,COL,2005,9794
Colombia,COL,2006,9923
Colombia,COL,2010,9400
Colombia,COL,2016,10112
Comoros,COM,1990,169
Comoros,COM,1995,173
Comoros,COM,2000,170
Comoros,COM,2005,161
Comoros,COM,2006,160
Comoros,COM,2010,148
Comoros,COM,2016,161
Congo,COG,1990,1754
Congo,COG,1995,1995
Congo,COG,2000,2193
Congo,COG,2005,1974
Congo,COG,2006,1951
Congo,COG,2010,1860
Congo,COG,2016,1983
Costa Rica,CRI,1990,575
Costa Rica,CRI,1995,652
Costa Rica,CRI,2000,721
Costa Rica,CRI,2005,698
Costa Rica,CRI,2006,672
Costa Rica,CRI,2010,618
Costa Rica,CRI,2016,852
Cote d'Ivoire,CIV,1990,6369
Cote d'Ivoire,CIV,1995,7737
Cote d'Ivoire,CIV,2000,8423
Cote d'Ivoire,CIV,2005,7839
Cote d'Ivoire,CIV,2006,7985
Cote d'Ivoire,CIV,2010,8201
Cote d'Ivoire,CIV,2016,12515
Croatia,HRV,1990,4060
Croatia,HRV,1995,3783
Croatia,HRV,2000,3548
Croatia,HRV,2005,3435
Croatia,HRV,2006,3430
Croatia,HRV,2010,3355
Croatia,HRV,2016,3530
Cuba,CUB,1990,5215
Cuba,CUB,1995,5498
Cuba,CUB,2000,5454
Cuba,CUB,2005,5401
Cuba,CUB,2006,5236
Cuba,CUB,2010,4756
Cuba,CUB,2016,5449
Cyprus,CYP,1990,349
Cyprus,CYP,1995,351
Cyprus,CYP,2000,335
Cyprus,CYP,2005,313
Cyprus,CYP,2006,305
Cyprus,CYP,2010,311
Cyprus,CYP,2016,361
Czech Republic,CZE,1990,12656
Czech Republic,CZE,1995,9827
Czech Republic,CZE,2000,7894
Czech Republic,CZE,2005,7194
Czech Republic,CZE,2006,7101
Czech Republic,CZE,2010,7135
Czech Republic,CZE,2016,6716
Democratic Republic of Congo,COD,1990,19987
Democratic Republic of Congo,COD,1995,23214
Democratic Republic of Congo,COD,2000,25653
Democratic Republic of Congo,COD,2005,25646
Democratic Republic of Congo,COD,2006,25896
Democratic Republic of Congo,COD,2010,27041
Democratic Republic of Congo,COD,2016,33329
Denmark,DNK,1990,3294
Denmark,DNK,1995,3100
Denmark,DNK,2000,2595
Denmark,DNK,2005,2238
Denmark,DNK,2006,2191
Denmark,DNK,2010,2035
Denmark,DNK,2016,1939
Djibouti,DJI,1990,340
Djibouti,DJI,1995,382
Djibouti,DJI,2000,401
Djibouti,DJI,2005,374
Djibouti,DJI,2006,376
Djibouti,DJI,2010,384
Djibouti,DJI,2016,435
Dominica,DMA,1990,20
Dominica,DMA,1995,22
Dominica,DMA,2000,18
Dominica,DMA,2005,18
Dominica,DMA,2006,18
Dominica,DMA,2010,17
Dominica,DMA,2016,21
Dominican Republic,DOM,1990,1636
Dominican Republic,DOM,1995,1783
Dominican Republic,DOM,2000,2169
Dominican Republic,DOM,2005,2163
Dominican Republic,DOM,2006,2230
Dominican Republic,DOM,2010,2475
Dominican Republic,DOM,2016,2989
East Asia,,1990,985527
East Asia,,1995,1074665
East Asia,,2000,1125344
East Asia,,2005,1170488
East Asia,,2006,1140109
East Asia,,2010,1164942
East Asia,,2016,1181344
Eastern Europe,,1990,215913
Eastern Europe,,1995,256859
Eastern Europe,,2000,239587
Eastern Europe,,2005,240190
Eastern Europe,,2006,227891
Eastern Europe,,2010,211599
Eastern Europe,,2016,198331
Eastern Sub-Saharan Africa,,1990,106961
Eastern Sub-Saharan Africa,,1995,113065
Eastern Sub-Saharan Africa,,2000,115009
Eastern Sub-Saharan Africa,,2005,108452
Eastern Sub-Saharan Africa,,2006,108921
Eastern Sub-Saharan Africa,,2010,108530
Eastern Sub-Saharan Africa,,2016,121927
Ecuador,ECU,1990,2211
Ecuador,ECU,1995,2338
Ecuador,ECU,2000,2405
Ecuador,ECU,2005,2593
Ecuador,ECU,2006,2508
Ecuador,ECU,2010,2210
Ecuador,ECU,2016,2267
Egypt,EGY,1990,52108
Egypt,EGY,1995,48437
Egypt,EGY,2000,46952
Egypt,EGY,2005,52964
Egypt,EGY,2006,54619
Egypt,EGY,2010,61992
Egypt,EGY,2016,68895
El Salvador,SLV,1990,1832
El Salvador,SLV,1995,1897
El Salvador,SLV,2000,1863
El Salvador,SLV,2005,1845
El Salvador,SLV,2006,1827
El Salvador,SLV,2010,1763
El Salvador,SLV,2016,2018
England,,1990,34890
England,,1995,32172
England,,2000,27545
England,,2005,23272
England,,2006,22440
England,,2010,20484
England,,2016,21352
Equatorial Guinea,GNQ,1990,380
Equatorial Guinea,GNQ,1995,394
Equatorial Guinea,GNQ,2000,304
Equatorial Guinea,GNQ,2005,201
Equatorial Guinea,GNQ,2006,208
Equatorial Guinea,GNQ,2010,208
Equatorial Guinea,GNQ,2016,243
Eritrea,ERI,1990,1796
Eritrea,ERI,1995,1477
Eritrea,ERI,2000,1421
Eritrea,ERI,2005,1536
Eritrea,ERI,2006,1578
Eritrea,ERI,2010,1689
Eritrea,ERI,2016,1846
Estonia,EST,1990,1157
Estonia,EST,1995,1089
Estonia,EST,2000,831
Estonia,EST,2005,713
Estonia,EST,2006,703
Estonia,EST,2010,563
Estonia,EST,2016,394
Ethiopia,ETH,1990,34047
Ethiopia,ETH,1995,37086
Ethiopia,ETH,2000,37141
Ethiopia,ETH,2005,33953
Ethiopia,ETH,2006,34139
Ethiopia,ETH,2010,33785
Ethiopia,ETH,2016,37793
Fiji,FJI,1990,134
Fiji,FJI,1995,156
Fiji,FJI,2000,173
Fiji,FJI,2005,189
Fiji,FJI,2006,183
Fiji,FJI,2010,155
Fiji,FJI,2016,192
Finland,FIN,1990,2145
Finland,FIN,1995,1829
Finland,FIN,2000,1607
Finland,FIN,2005,1397
Finland,FIN,2006,1402
Finland,FIN,2010,1391
Finland,FIN,2016,1131
France,FRA,1990,20963
France,FRA,1995,19950
France,FRA,2000,18668
France,FRA,2005,17166
France,FRA,2006,16960
France,FRA,2010,16920
France,FRA,2016,17389
Gabon,GAB,1990,635
Gabon,GAB,1995,678
Gabon,GAB,2000,719
Gabon,GAB,2005,682
Gabon,GAB,2006,682
Gabon,GAB,2010,632
Gabon,GAB,2016,693
Gambia,GMB,1990,529
Gambia,GMB,1995,533
Gambia,GMB,2000,555
Gambia,GMB,2005,546
Gambia,GMB,2006,563
Gambia,GMB,2010,598
Gambia,GMB,2016,758
Georgia,GEO,1990,4662
Georgia,GEO,1995,3919
Georgia,GEO,2000,3863
Georgia,GEO,2005,4160
Georgia,GEO,2006,4069
Georgia,GEO,2010,4137
Georgia,GEO,2016,3622
Germany,DEU,1990,58048
Germany,DEU,1995,49321
Germany,DEU,2000,42708
Germany,DEU,2005,38368
Germany,DEU,2006,38041
Germany,DEU,2010,37877
Germany,DEU,2016,38873
Ghana,GHA,1990,6217
Ghana,GHA,1995,6754
Ghana,GHA,2000,7946
Ghana,GHA,2005,7999
Ghana,GHA,2006,8219
Ghana,GHA,2010,9067
Ghana,GHA,2016,11989
Greece,GRC,1990,5577
Greece,GRC,1995,5475
Greece,GRC,2000,5546
Greece,GRC,2005,5222
Greece,GRC,2006,5286
Greece,GRC,2010,5929
Greece,GRC,2016,6404
Greenland,GRL,1990,9
Greenland,GRL,1995,8
Greenland,GRL,2000,9
Greenland,GRL,2005,8
Greenland,GRL,2006,7
Greenland,GRL,2010,5
Greenland,GRL,2016,3
Grenada,GRD,1990,43
Grenada,GRD,1995,42
Grenada,GRD,2000,39
Grenada,GRD,2005,37
Grenada,GRD,2006,36
Grenada,GRD,2010,32
Grenada,GRD,2016,39
Guam,GUM,1990,19
Guam,GUM,1995,22
Guam,GUM,2000,29
Guam,GUM,2005,36
Guam,GUM,2006,37
Guam,GUM,2010,41
Guam,GUM,2016,58
Guatemala,GTM,1990,4237
Guatemala,GTM,1995,4609
Guatemala,GTM,2000,5035
Guatemala,GTM,2005,4820
Guatemala,GTM,2006,4601
Guatemala,GTM,2010,4011
Guatemala,GTM,2016,4176
Guinea,GIN,1990,4282
Guinea,GIN,1995,5120
Guinea,GIN,2000,5076
