Entity,Code,Year,Death rate from ambient PM2.5 air pollution- State of Global Air
Afghanistan,AFG,1990,268
Afghanistan,AFG,1995,271
Afghanistan,AFG,2000,277
Afghanistan,AFG,2005,249
Afghanistan,AFG,2010,244
Afghanistan,AFG,2015,232
Albania,ALB,1990,58
Albania,ALB,1995,50
Albania,ALB,2000,47
Albania,ALB,2005,39
Albania,ALB,2010,41
Albania,ALB,2015,43
Algeria,DZA,1990,64
Algeria,DZA,1995,59
Algeria,DZA,2000,54
Algeria,DZA,2005,47
Algeria,DZA,2010,41
Algeria,DZA,2015,46
Andorra,AND,1990,19
Andorra,AND,1995,17
Andorra,AND,2000,15
Andorra,AND,2005,14
Andorra,AND,2010,13
Andorra,AND,2015,13
Angola,AGO,1990,146
Angola,AGO,1995,138
Angola,AGO,2000,134
Angola,AGO,2005,118
Angola,AGO,2010,106
Angola,AGO,2015,109
Antigua and Barbuda,ATG,1990,42
Antigua and Barbuda,ATG,1995,41
Antigua and Barbuda,ATG,2000,37
Antigua and Barbuda,ATG,2005,34
Antigua and Barbuda,ATG,2010,28
Antigua and Barbuda,ATG,2015,28
Argentina,ARG,1990,48
Argentina,ARG,1995,44
Argentina,ARG,2000,43
Argentina,ARG,2005,39
Argentina,ARG,2010,37
Argentina,ARG,2015,34
Armenia,ARM,1990,80
Armenia,ARM,1995,81
Armenia,ARM,2000,77
Armenia,ARM,2005,76
Armenia,ARM,2010,72
Armenia,ARM,2015,62
Australia,AUS,1990,23
Australia,AUS,1995,19
Australia,AUS,2000,16
Australia,AUS,2005,12
Australia,AUS,2010,9
Australia,AUS,2015,9
Austria,AUT,1990,44
Austria,AUT,1995,39
Austria,AUT,2000,34
Austria,AUT,2005,27
Austria,AUT,2010,23
Austria,AUT,2015,23
Azerbaijan,AZE,1990,135
Azerbaijan,AZE,1995,121
Azerbaijan,AZE,2000,116
Azerbaijan,AZE,2005,97
Azerbaijan,AZE,2010,97
Azerbaijan,AZE,2015,81
Bahamas,BHS,1990,56
Bahamas,BHS,1995,47
Bahamas,BHS,2000,44
Bahamas,BHS,2005,37
Bahamas,BHS,2010,28
Bahamas,BHS,2015,30
Bahrain,BHR,1990,108
Bahrain,BHR,1995,96
Bahrain,BHR,2000,85
Bahrain,BHR,2005,65
Bahrain,BHR,2010,51
Bahrain,BHR,2015,46
Bangladesh,BGD,1990,130
Bangladesh,BGD,1995,126
Bangladesh,BGD,2000,125
Bangladesh,BGD,2005,136
Bangladesh,BGD,2010,136
Bangladesh,BGD,2015,133
Barbados,BRB,1990,43
Barbados,BRB,1995,42
Barbados,BRB,2000,36
Barbados,BRB,2005,30
Barbados,BRB,2010,26
Barbados,BRB,2015,27
Belarus,BLR,1990,105
Belarus,BLR,1995,108
Belarus,BLR,2000,104
Belarus,BLR,2005,94
Belarus,BLR,2010,86
Belarus,BLR,2015,82
Belgium,BEL,1990,47
Belgium,BEL,1995,41
Belgium,BEL,2000,37
Belgium,BEL,2005,30
Belgium,BEL,2010,26
Belgium,BEL,2015,25
Belize,BLZ,1990,66
Belize,BLZ,1995,74
